,Gas Limitation, Permission Check, Inappropriate Logic, Specialized DApp Features, Version Gap, Inappropriate Standard, Smells,,,,,,,,,,,,,
12230, ,,,,,,,,,,,,,,,,,,,
12232, ,,,,,,,,,,,,,,,,,,,
12238, ,,,,,,,,,,,,,,,,,,,
12242, ,,,,,,,,,,,,,,,,,,,
12247, ,,,,,,,,,,,,,,,,,,,
12250, ,,,,,,,,,,,,,,,,,,,
12257, ,,,,,,,,,,,,,,,,,,,
12268, ,,Y,,,,,,,,,,,,,,,,,
12269, ,,,,,,,,,,,,,,,,,,,
12281, ,,,,,,,,,,,,,,,,,,,
12285, ,,,,,,,,,,,,,,,,,,,
12295, ,,Y,,,,,,,,,,,,,,,,,
12299, ,,,,,,,,,,,,,,,,,,,
12315, ,,,,,,,,,,,,,,,,,,,
12321, ,,,,,,,,,,,,,,,,,,,
12329, ,,,,,,,,,,,,,,,,,,,
12330, ,,,,,,,,,,,,,,,,,,,
12333, ,,,,,,,,,,,,,,,,,,,
1233, ,,,,,,,,,,,,,,,,,,,
12352, ,,,,,,,,,,,,,,,,,,,
12355, ,,,,,,,,,,,,,,,,,,,
12389, ,,,,,,,,,,,,,,,,,,,
12394, ,,,,,,,,,,,,,,,,,,,
12395, ,,,,,,,,,,,,,,,,,,,
12414, ,,,,,,,,,,,,,,,,,,,
12417, ,,,,,,,,,,,,,,,,,,,
12433, ,,,,,,,,,,,,,,,,,,,
1243, ,,,,,,,,,,,,,,,,,,,
12440,Y,,,,,,,,,,,,,,,,,,,
12441, ,,,,,,,,,,,,,,,,,,,
12447, ,,,,,,,,,,,,,,,,,,,
12464, ,,,,,,,,,,,,,,,,,,,
12465, ,,,Y,,,Re-entrancy,,,,,,,,,,,,,
12468, ,,,,,,,,,,,,,,,,,,,
12469, ,,,,,,,,,,,,,,,,,,,
12471, ,,,,,,,,,,,,,,,,,,,
12481,Y,,,,,,,,,,,,,,,,,,,
12486, ,,,,,,,,,,,,,,,,,,,
12487, ,,,Y,,,Missing Interrupter,,,,,,,,,,,,,
12501, ,,,,,,,,,,,,,,,,,,,
12503, ,,,,,,,,,,,,,,,,,,,
12508, ,,,,,,,,,,,,,,,,,,,
12514, ,,,,,,,,,,,,,,,,,,,
12515, ,,,,,,,,,,,,,,,,,,,
12519, ,,,Y,,,Missing Return Value,,,,,,,,,,,,,
12520, ,,Y,,,,,,,,,,,,,,,,,
12536, ,,,,,,,,,,,,,,,,,,,
12538, ,,,Y,,,Missing Return Statement,,,,,,,,,,,,,
12547, ,,,,,,,,,,,,,,,,,,,
1254, ,Y,,,,,,,,,,,,,,,,,,
12554, ,,,,,,,,,,,,,,,,,,,
1255, ,,,,,,,,,,,,,,,,,,,
12561, ,,,,,,,,,,,,,,,,,,,
12579, ,,,,,,,,,,,,,,,,,,,
12583, ,,,,,,,,,,,,,,,,,,,
12596, ,,,,,,,,,,,,,,,,,,,
1259,Y,,,,,,,,,,,,,,,,,,,
125, ,,,,,,,,,,,,,,,,,,,
12600, ,,,,,,,,,,,,,,,,,,,
12602, ,,,,,,,,,,,,,,,,,,,
12605, ,,,,,,,,,,,,,,,,,,,
12609, ,,,,,,,,,,,,,,,,,,,
12612, ,,,,,,,,,,,,,,,,,,,
12615, ,,,,,,,,,,,,,,,,,,,
12623, ,,,,,,,,,,,,,,,,,,,
12630, ,,,,,,,,,,,,,,,,,,,
12631, ,,,,,,,,,,,,,,,,,,,
12644, ,,,,,,,,,,,,,,,,,,,
12645, ,,,,,,,,,,,,,,,,,,,
12649, ,,,,,,,,,,,,,,,,,,,
1265, ,,,,,,,,,,,,,,,,,,,
12666, ,,,,,,,,,,,,,,,,,,,
12667, ,,,,,,,,,,,,,,,,,,,
12668, ,,,,,,,,,,,,,,,,,,,
12671, ,,,,,,,,,,,,,,,,,,,
12678, ,,,,,,,,,,,,,,,,,,,
12679, ,,,,,,,,,,,,,,,,,,,
12681, ,,,,,,,,,,,,,,,,,,,
12683, ,,,,,,,,,,,,,,,,,,,
12689, ,,,,,,,,,,,,,,,,,,,
12705, ,,,,,,,,,,,,,,,,,,,
12715, ,,,,,,,,,,,,,,,,,,,
12716, ,,,,,,,,,,,,,,,,,,,
12726, ,,,,,,,,,,,,,,,,,,,
12728, ,,,,,,,,,,,,,,,,,,,
12730, ,,,,,,,,,,,,,,,,,,,
12733, ,,,,,,,,,,,,,,,,,,,
12734, ,,,,,,,,,,,,,,,,,,,
12736, ,,,Y,,,,,,,,,,,,,,,,
12737, ,,,,,,,,,,,,,,,,,,,
12748, ,,,,,,,,,,,,,,,,,,,
12751, ,,,,,,,,,,,,,,,,,,,
12756, ,,,,,,,,,,,,,,,,,,,
12760, ,,,,,,,,,,,,,,,,,,,
12765, ,,,Y,,,,,,,,,,,,,,,,
12774, ,,,,,,,,,,,,,,,,,,,
12778, ,,,,,,,,,,,,,,,,,,,
12779, ,,,,,,,,,,,,,,,,,,,
12784, ,,,,,,,,,,,,,,,,,,,
12789, ,,,,,,,,,,,,,,,,,,,
1279, ,,,Y,,,,,,,,,,,,,,,,
12806, ,,,,,,,,,,,,,,,,,,,
12808, ,,,,,,,,,,,,,,,,,,,
12810, ,,,,,,,,,,,,,,,,,,,
12820, ,,,,,,,,,,,,,,,,,,,
12823, ,,,,,,,,,,,,,,,,,,,
12830, ,,,,,,,,,,,,,,,,,,,
12831, ,,,,,,,,,,,,,,,,,,,
12843, ,,,,,,,,,,,,,,,,,,,
12845, ,,,,,,,,,,,,,,,,,,,
12852, ,,,,,,,,,,,,,,,,,,,
12858, ,,,,,,,,,,,,,,,,,,,
12867, ,,,,,,,,,,,,,,,,,,,
12890, ,Y,,,,,,,,,,,,,,,,,,
12901, ,,,,,,,,,,,,,,,,,,,
12903, ,,,,,,,,,,,,,,,,,,,
12907, ,,,,,,,,,,,,,,,,,,,
12915,Y,,,,,,,,,,,,,,,,,,,
12924, ,,,,,,,,,,,,,,,,,,,
1293, ,,,,,,,,,,,,,,,,,,,
1294, ,,,,,,,,,,,,,,,,,,,
12957, ,,,,,,,,,,,,,,,,,,,
12963, ,,,,,,,,,,,,,,,,,,,
12965, ,,,,,,,,,,,,,,,,,,,
12975, ,,,,,,,,,,,,,,,,,,,
12978, ,,,,,,,,,,,,,,,,,,,
13002, ,,,,,,,,,,,,,,,,,,,
13006, ,,,,,,,,,,,,,,,,,,,
13008, ,,,,,,,,,,,,,,,,,,,
13018, ,,,,,,,,,,,,,,,,,,,
1302, ,,,,,,,,,,,,,,,,,,,
13069, ,,,,,,,,,,,,,,,,,,,
13071, ,,,,,,,,,,,,,,,,,,,
13072, ,,,,,,,,,,,,,,,,,,,
13083, ,,,,,,,,,,,,,,,,,,,
13096, ,,,,,,,,,,,,,,,,,,,
13099, ,,,,,,,,,,,,,,,,,,,
13101, ,,,,,,,,,,,,,,,,,,,
13112, ,,,,,,,,,,,,,,,,,,,
13126, ,,,Y,,,,,,,,,,,,,,,,
13130, ,,,,,,,,,,,,,,,,,,,
13136, ,,,,,,,,,,,,,,,,,,,
13137, ,,,,,,,,,,,,,,,,,,,
13144, ,,,,,,,,,,,,,,,,,,,
13150, ,,,,,,,,,,,,,,,,,,,
13160, ,,,,,,,,,,,,,,,,,,,
13161, ,,,,,,,,,,,,,,,,,,,
13167, ,,,,,,,,,,,,,,,,,,,
13170, ,,,,,,,,,,,,,,,,,,,
13177, ,,,,,,,,,,,,,,,,,,,
13181, ,,,,,,,,,,,,,,,,,,,
13182, ,,,,,,,,,,,,,,,,,,,
13183, ,,,,,,,,,,,,,,,,,,,
1318, ,,,,,,,,,,,,,,,,,,,
1319, ,,,,,,,,,,,,,,,,,,,
131, ,,,,,,,,,,,,,,,,,,,
13206, ,Y,,,,,,,,,,,,,,,,,,
13209, ,,,,,,,,,,,,,,,,,,,
13212,Y,,,,,,,,,,,,,,,,,,,
13213, ,,,Y,,,Unchecked External Call,,,,,,,,,,,,,
13224, ,,,,,,,,,,,,,,,,,,,
13230, ,,,,,,,,,,,,,,,,,,,
13234, ,,,,,,,,,,,,,,,,,,,
13249, ,,,,,,,,,,,,,,,,,,,
13252, ,,,,,,,,,,,,,,,,,,,
13258, ,,,,,,,,,,,,,,,,,,,
13259, ,,,,,,,,,,,,,,,,,,,
13264, ,,,,,,,,,,,,,,,,,,,
13268, ,,,Y,,,Unchecked External Calls,,,,,,,,,,,,,
13270, ,,,,,,,,,,,,,,,,,,,
13273, ,,,,,,,,,,,,,,,,,,,
13290, ,,,,,,,,,,,,,,,,,,,
13294, ,,,,,,,,,,,,,,,,,,,
13305, ,,,,,,,,,,,,,,,,,,,
13309, ,,,,,,,,,,,,,,,,,,,
13315, ,,,,,,,,,,,,,,,,,,,
13319, ,,,,,,,,,,,,,,,,,,,
13321, ,,,,,,,,,,,,,,,,,,,
13342, ,,,,,,,,,,,,,,,,,,,
13343, ,,,,,,,,,,,,,,,,,,,
13347, ,,,,,,,,,,,,,,,,,,,
13361, ,,,,,,,,,,,,,,,,,,,
13362, ,,,,,,,,,,,,,,,,,,,
13370, ,,,,,,,,,,,,,,,,,,,
13371, ,,,,,,,,,,,,,,,,,,,
13373, ,,,,,,,,,,,,,,,,,,,
13391, ,,,,,,,,,,,,,,,,,,,
13393, ,,,,,,,,,,,,,,,,,,,
13414, ,,,,,,,,,,,,,,,,,,,
13424, ,,,,,,,,,,,,,,,,,,,
13426, ,,,,,,,,,,,,,,,,,,,
13431, ,,,,,,,,,,,,,,,,,,,
13434, ,,,,,,,,,,,,,,,,,,,
13438, ,,,,,,,,,,,,,,,,,,,
13447, ,,,,,,,,,,,,,,,,,,,
13457, ,,,,,,,,,,,,,,,,,,,
13460, ,,,,,,,,,,,,,,,,,,,
13465, ,,,,,,,,,,,,,,,,,,,
13467, ,,,,,,,,,,,,,,,,,,,
13469, ,,,,,,,,,,,,,,,,,,,
13470, ,,,,,,,,,,,,,,,,,,,
13471, ,,,,,,,,,,,,,,,,,,,
13472,Y,,,,,,,,,,,,,,,,,,,
13474, ,,,,,,,,,,,,,,,,,,,
13487, ,,,,,,,,,,,,,,,,,,,
1348, ,,,,,,,,,,,,,,,,,,,
13492, ,,,,,,,,,,,,,,,,,,,
13493, ,,,,,,,,,,,,,,,,,,,
13508, ,,,,,,,,,,,,,,,,,,,
13512, ,,,,,,,,,,,,,,,,,,,
13516, ,,,,,,,,,,,,,,,,,,,
13518, ,,,,,,,,,,,,,,,,,,,
13519, ,,,,,,,,,,,,,,,,,,,
13523, ,,,,,,,,,,,,,,,,,,,
1352, ,,,,,,,,,,,,,,,,,,,
13532, ,,,,,,,,,,,,,,,,,,,
13537, ,,,,,,,,,,,,,,,,,,,
13543, ,,,,,,,,,,,,,,,,,,,
13547, ,,,,,,,,,,,,,,,,,,,
13549, ,,,,,,,,,,,,,,,,,,,
13552, ,,,,,,,,,,,,,,,,,,,
1355, ,,,,,,,,,,,,,,,,,,,
13561, ,,,,,,,,,,,,,,,,,,,
13568, ,,,,,,,,,,,,,,,,,,,
13571, ,,,,,,,,,,,,,,,,,,,
13579, ,,,,,,,,,,,,,,,,,,,
13580, ,,Y,,,,,,,,,,,,,,,,,
13592, ,,,,,,,,,,,,,,,,,,,
13595, ,,,,,,,,,,,,,,,,,,,
13598, ,,,,Y,,Unspecified Compiler Version,,,,,,,,,,,,,
13603, ,,,,,,,,,,,,,,,,,,,
13605, ,,,,,,,,,,,,,,,,,,,
13616, ,,,,,,,,,,,,,,,,,,,
13620, ,,,,,,,,,,,,,,,,,,,
13623, ,,,,,,,,,,,,,,,,,,,
13626, ,,,,,,,,,,,,,,,,,,,
13641, ,,,,,,,,,,,,,,,,,,,
13646, ,,,,,,,,,,,,,,,,,,,
13666, ,,,,,,,,,,,,,,,,,,,
13667, ,,,,,,,,,,,,,,,,,,,
13673, ,,,,,,,,,,,,,,,,,,,
